# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
dai ma kuai 	代码块	c=3 d=1.44731 t=5251
dai ma mei xie wan 	代碼沒寫完	c=1 d=1 t=4999
dai ma zhong 	代碼中	c=3 d=2.83029 t=6203
dai ru 	代入	c=1 d=1 t=3460
dai shu 	代數	c=0 d=0.0631284 t=130
dai shu you hua 	代數優化	c=2 d=1.27527 t=130
dai you 	帶有	c=2 d=1.99005 t=1940
dai zhe 	戴着	c=1 d=1 t=6583
dan 	但	c=2 d=0.918512 t=6821
dan 	單	c=0 d=0.1 t=1914
dan 	蛋	c=0 d=0.1 t=6645
dan biao cha xun 	單表查詢	c=1 d=1 t=1915
dan bu xian yu 	但不限於	c=1 d=1 t=5814
dan ci 	單詞	c=2 d=1.92774 t=6779
dan ke neng 	但可能	c=1 d=1 t=3155
dan ni tong shi 	但你同時	c=1 d=1 t=4036
dan qu 	單曲	c=4 d=3.97017 t=1663
dan sheng 	誕生	c=0 d=0.1 t=3986
dan shi 	但是	c=17 d=2.42887 t=6014
dan shi geng hao fang shi de gui fan kai fa 	但是更好方式的規範開發	c=1 d=1 t=2100
dan ta 	但她	c=0 d=0.1 t=2911
dan ta de 	但她的	c=1 d=1 t=2912
dan wei zhong liang 	单位重量	c=1 d=1 t=5153
dan yuan 	單元	c=1 d=1 t=2144
dan yuan ce shi 	單元測試	c=0 d=0.1 t=5345
dan yuan ce shi lu jing 	單元測試路徑	c=1 d=1 t=5346
dan yuan zui duan lu 	单源最短路	c=0 d=0.1 t=5191
dan yuan zui duan lu jing 	单源最短路徑	c=5 d=4.30984 t=5349
dang 	當	c=1 d=1 t=2297
dang chang 	當場	c=0 d=0.1 t=2192
dang chang jin xing 	當場進行	c=1 d=1 t=2193
dang jin she hui 	當今社會	c=1 d=1 t=1521
dang qian 	當前	c=1 d=1.00842 t=3335
dang qian de 	當前的	c=1 d=1 t=4758
dang qian shi jie xing shi 	當前世界形勢	c=1 d=0.99005 t=130
dang ran 	當然	c=1 d=0.533874 t=3426
dang shi 	當時	c=0 d=0.1 t=3231
dang zuo 	當作	c=1 d=1 t=4347
dao 	到	c=5 d=0.459954 t=5112
dao 	道	c=2 d=1.9802 t=6546
dao ban 	盜版	c=1 d=1 t=5586
dao ban ruan jian 	盗版软件	c=1 d=1 t=276
dao ben yu 	道本语	c=3 d=2.31307 t=6677
dao chu dou shi 	到處都是	c=0 d=0.1 t=5503
dao di zai 	到底在	c=0 d=0.1 t=4331
dao le 	到了	c=0 d=0.105843 t=1722
dao lu 	道路	c=2 d=1.92774 t=1544
dao lu shang 	道路上	c=2 d=1.956 t=1575
dao ru 	導入	c=1 d=1 t=5531
dao shu 	倒數	c=1 d=1 t=6774
dao tui 	倒退	c=0 d=0.1 t=1538
dao zhi 	導致	c=2 d=1.90767 t=436
de 	的	c=237 d=8.47843 t=6821
de chu 	得出	c=1 d=0.1 t=5225
de chu de 	得出的	c=1 d=1 t=5226
de chu lai 	得出來	c=0 d=0.1 t=4433
de chu lai de 	得出來的	c=1 d=1 t=4434
de dao 	得到	c=2 d=1.00003 t=2546
de dao de 	得到的	c=0 d=0.1 t=2476
de hua 	的話	c=5 d=1.00572 t=6699
de men 	的門	c=1 d=1 t=6515
de ren 	的人	c=0 d=0.1 t=3610
de she ji 	的設計	c=2 d=1.9802 t=6406
de shi hou 	的時候	c=2 d=1.00492 t=4061
de shu ju 	的數據	c=1 d=1 t=2370
de shuai 	德帥	c=1 d=1 t=1514
de xi tong 	的系統	c=1 d=1 t=4812
de zhe ge 	的這個	c=1 d=1 t=3399
de zhi 	得知	c=1 d=1 t=2315
deng 	燈	c=1 d=1 t=6595
deng 	等	c=6 d=1 t=5798
deng hui 	登回	c=1 d=1 t=5394
deng jia 	等價	c=1 d=0.625002 t=130
deng lu 	登錄	c=2 d=1.00245 t=6316
deng tong yu 	等同於	c=1 d=1 t=1222
deng yu 	等於	c=4 d=1.97538 t=6083
di 	底	c=1 d=0.737123 t=130
di 	第	c=6 d=5.37139 t=4654
di ba ci 	第八次	c=0 d=0.1 t=2470
di ba ci ke 	第八次課	c=1 d=1 t=2471
di er bu fen 	第二部分	c=1 d=1 t=6355
di er ci 	第二次	c=0 d=0.1 t=2232
di er ci ke 	第二次課	c=4 d=1.50414 t=2613
di er ge 	第二個	c=1 d=1.00002 t=6775
di fang 	地方	c=1 d=0.106441 t=4211
di fang le 	地方了	c=1 d=1 t=918
di gui 	遞歸	c=6 d=3.23229 t=4660
di guo lai 	遞過來	c=1 d=1 t=6468
di liu 	第六	c=0 d=0.1 t=6379
di liu bu fen 	第六部分	c=1 d=1 t=6380
di liu ci 	第六次	c=0 d=0.1 t=2335
di liu ci ke 	第六次課	c=4 d=2.6259 t=2641
di qi 	第七	c=0 d=0.1 t=6385
di qi bu fen 	第七部分	c=1 d=1 t=6386
di qi ci 	第七次	c=0 d=0.1 t=2336
di qi ci ke 	第七次課	c=4 d=2.6259 t=2642
di qu 	地區	c=1 d=0.767206 t=130
di san 	第三	c=1 d=0.612626 t=130
di san bu fen 	第三部分	c=1 d=1 t=6362
di san ci 	第三次	c=1 d=1.09704 t=2338
di san ci ke 	第三次課	c=3 d=2.23916 t=2615
di san fang 	第三方	c=1 d=1 t=5487
di si 	第四	c=0 d=0.1 t=6367
di si bu fen 	第四部分	c=1 d=1 t=6368
di si ci 	第四次	c=0 d=0.1 t=2333
di si ci ke 	第四次課	c=4 d=2.57081 t=2617
di si ge 	第四個	c=1 d=1.09704 t=5038
di si ge wen jian 	第四個文件	c=1 d=1 t=5033
di wu 	第五	c=0 d=0.1 t=6373
di wu bu fen 	第五部分	c=1 d=1 t=6374
di wu ci 	第五次	c=0 d=0.1 t=2334
di wu ci ke 	第五次課	c=4 d=2.51779 t=2640
di wu ren ge 	第五人格	c=2 d=1.55433 t=5617
di xia shi 	地下室	c=2 d=1.81941 t=3026
di xia shi zhong 	地下室中	c=1 d=1 t=2988
di yi 	第一	c=0 d=0.100004 t=5027
di yi bu fen 	第一部分	c=1 d=1 t=6349
di yi ci 	第一次	c=0 d=0.1 t=2264
di yi ci ke 	第一次課	c=4 d=2.34959 t=2612
di yi ge 	第一個	c=1 d=1 t=1370
di yi ge wen jian 	第一個文件	c=1 d=1 t=5028
di yi ju 	第一句	c=1 d=1 t=6063
di yi pian 	第一篇	c=1 d=1 t=2949
di yi ren cheng 	第一人稱	c=1 d=1 t=2983
di yi shi jiao 	第一視角	c=1 d=1 t=3007
di zhi 	地址	c=2 d=0.984402 t=2562
dian 	點	c=1 d=1 t=5592
dian chi 	電池	c=2 d=1.36833 t=5927
dian dong 	電動	c=1 d=1 t=6487
dian hua 	電話	c=1 d=1 t=3625
dian ji 	點擊	c=1 d=1 t=5775
dian lu 	電路	c=0 d=0.282868 t=2630
dian lu tu 	電路圖	c=1 d=1 t=2503
dian nao 	電腦	c=6 d=2.76729 t=6621
dian nao cheng xu 	电脑程序	c=2 d=1.80252 t=4035
dian shi he zi 	电视盒子	c=1 d=1 t=5544
dian shu 	點數	c=0 d=0.1 t=615
dian shu shang dian 	點數商店	c=1 d=1 t=616
dian tou 	點頭	c=1 d=1.08511 t=6544
dian yuan 	電源	c=1 d=1.00213 t=6611
dian yuan shi pei qi 	電源適配器	c=1 d=1 t=5842
dian zi 	電子	c=0 d=0.1 t=1819
dian zi 	點子	c=1 d=1 t=6509
dian zi de 	電子的	c=1 d=1 t=1820
diao 	掉	c=0 d=0.1 t=3257
diao yong 	調用	c=1 d=1 t=6179
ding yi 	定義	c=13 d=0.52076 t=5246
ding yi hao le 	定義好了	c=1 d=1 t=4417
ding yi yi ge 	定義一個	c=2 d=1.0001 t=6196
ding yue 	訂閱	c=1 d=1 t=5716
dong 	冬	c=0 d=0.1 t=2215
dong 	動	c=0 d=0.1 t=598
dong 	懂	c=1 d=1 t=4391
dong bu di qu 	東部地區	c=1 d=0.752014 t=130
dong ci 	動詞	c=1 d=1 t=6798
dong de 	懂得	c=0 d=0.1 t=4400
dong gui 	動歸	c=1 d=0.251829 t=4684
dong gui shu zu 	動歸數組	c=2 d=1.72253 t=4750
dong ji 	動機	c=0 d=0.1 t=198
dong kuo 	東擴	c=1 d=1 t=472
dong lang 	冬狼	c=1 d=1 t=5590
dong man 	動漫	c=1 d=1 t=2101
dong tai gui hua 	动态规划	c=7 d=5.57919 t=4767
dong xi 	東西	c=6 d=1.00004 t=6613
dou 	都	c=1 d=0.102841 t=5422
dou bu shi 	都不是	c=2 d=1 t=6012
dou bu xiang yao 	都不想要	c=1 d=1 t=4136
dou chan sheng le 	都產生了	c=1 d=1 t=140
dou hao 	逗號	c=2 d=1.90484 t=846
dou hen hao ting 	都很好聽	c=1 d=1 t=3691
dou ji cuo la 	都記錯啦	c=1 d=1 t=3683
dou ke yi 	都可以	c=1 d=1 t=4299
dou mei wan guo 	都沒玩過	c=1 d=1 t=4292
dou mei yong 	都沒用	c=1 d=1 t=3033
dou mei you 	都沒有	c=1 d=1 t=4377
dou qiao le 	都翹了	c=1 d=1 t=5423
dou shan le 	都刪了	c=1 d=1 t=4125
dou shi 	都是	c=3 d=1.00099 t=6817
dou shou 	兜售	c=1 d=1 t=215
dou shu jin qu le 	都輸進去了	c=1 d=1 t=2128
dou yi 	都以	c=1 d=1 t=4920
du 	度	c=1 d=1 t=3825
du 	讀	c=0 d=0.1 t=1230
du chu 	讀出	c=0 d=0.1 t=6601
du chu le 	讀出了	c=1 d=1 t=6602
du dao 	讀到	c=1 d=1 t=866
du guai 	賭怪	c=1 d=1 t=5534
du li 	獨立	c=1 d=0.771052 t=130
du qu 	讀取	c=4 d=0.100001 t=5268
du qu le 	讀取了	c=1 d=1 t=965
du qu ta 	讀取他	c=1 d=1 t=5269
du ru 	讀入	c=4 d=1.00003 t=4531
du ru shu ju 	读入数据	c=1 d=1 t=1176
du yi wu er 	獨一無二	c=0 d=0.1 t=3675
duan 	段	c=2 d=1.00737 t=2417
duan gong 	斷供	c=1 d=1 t=418
duan wei 	段位	c=1 d=1 t=2150
duan yi hang 	段毅航	c=1 d=0.946485 t=6821
duan yu 	短語	c=1 d=1 t=6002
dui 	對	c=20 d=1.19412 t=6505
dui ba 	對吧	c=1 d=1 t=4014
dui biao 	對錶	c=0 d=0.1 t=1664
dui biao de 	對錶的	c=1 d=1 t=1665
dui bu dui 	對不對	c=1 d=1 t=4209
dui de 	對的	c=1 d=1 t=4329
dui fang 	對方	c=0 d=0.1 t=3640
dui hua 	對話	c=4 d=1.80043 t=3478
dui hua kuang 	對話框	c=1 d=1 t=5090
dui hua mo xing 	对话模型	c=1 d=1 t=3710
dui ni 	對你	c=0 d=0.1 t=2836
dui shi jie de 	對世界的	c=2 d=1.29671 t=293
dui shi tu 	對視圖	c=1 d=1 t=1912
dui ta 	對她	c=2 d=1.66698 t=2995
dui wo lai shuo 	對我來說	c=1 d=1 t=3136
dui yi 	對已	c=0 d=0.1 t=1948
dui yi jian li 	對已建立	c=1 d=1 t=1949
dui ying 	對應	c=4 d=3.76605 t=2393
dui ying de 	對應的	c=2 d=1.46301 t=2559
dui yu 	對於	c=3 d=1.94653 t=6238
dui yu mei yi dui 	對於每一對	c=1 d=1 t=4689
dui zhao 	對照	c=1 d=1 t=1947
dui zhe xie biao 	對這些表	c=1 d=1 t=1699
dun nie ci ke 	頓涅茨克	c=1 d=0.755784 t=130
duo 	多	c=1 d=0.109164 t=3859
duo ban 	多半	c=1 d=1 t=6574
duo ci 	多次	c=1 d=1 t=380
duo ge 	多個	c=4 d=0.104058 t=4538
duo ge fu he guo jia he kong jian gui hua fa guo dui 	多個符合國家和空間規劃法國隊	c=1 d=1 t=3640
duo jiu 	多久	c=1 d=1 t=5754
duo lu 	多路	c=0 d=0.1 t=2609
duo lu xuan ze qi 	多路選擇器	c=1 d=1 t=2610
duo shao 	多少	c=4 d=1.05065 t=6695
duo shao ke 	多少克	c=1 d=1 t=6084
duo wen jian 	多文件	c=2 d=1.00018 t=5111
duo xi huan 	多喜歡	c=1 d=1.09501 t=3861
duo xiao shi 	多小時	c=0 d=0.1 t=4408
duo yang 	多樣	c=0 d=0.1 t=1551
duo yang de 	多樣的	c=2 d=1.98511 t=1558
duo yu 	多於	c=1 d=1 t=5890
duo zhong 	多種	c=1 d=1 t=236
duo zhong duo yang 	多種多樣	c=0 d=0.1 t=1976
duo zhong duo yang de 	多種多樣的	c=1 d=1 t=1977
e 	俄	c=0 d=0.088692 t=130
e 	呃	c=0 d=0.1 t=4361
e e 	諤諤	c=1 d=1.09802 t=4365
e e e 	呃呃呃	c=1 d=1 t=4363
e e e 	諤諤呃	c=1 d=1 t=4362
e luo si 	俄羅斯	c=20 d=8.95623 t=496
e luo si de 	俄羅斯的	c=1 d=1 t=373
e luo si ju shi 	俄羅斯局勢	c=2 d=1.97045 t=292
e wai de 	額外的	c=1 d=1 t=1066
e wu 	俄烏	c=6 d=2.34768 t=446
e wu chong tu 	俄烏衝突	c=2 d=1.18544 t=393
e ya sha 	鵝鴨殺	c=1 d=1 t=5623
e yu 	俄語	c=1 d=1 t=6323
ei 	誒	c=1 d=1 t=2683
eng 	嗯	c=0 d=0.1 t=283
er 	二	c=3 d=0.150551 t=2662
er 	而	c=1 d=1 t=3151
er bu shi 	而不是	c=4 d=1.0426 t=6329
er fen 	二分	c=1 d=1 t=1057
er fen cha zhao 	二分查找	c=4 d=1 t=5191
er fen cha zhao suan fa 	二分查找算法	c=1 d=1 t=1191
er fen sou suo 	二分搜索	c=7 d=1.05281 t=2064
er fen sou suo suan fa 	二分搜索算法	c=1 d=1 t=1136
er jiao dou shi 	二角鬥士	c=1 d=1 t=2039
er jin zhi 	二進制	c=2 d=1.00051 t=2286
er liang 	二兩	c=1 d=1 t=6077
er ni 	而你	c=1 d=1 t=3029
er qie 	而且	c=4 d=1.31523 t=3949
er shi ji 	二十幾	c=0 d=0.1 t=5114
er shi ji ge 	二十幾個	c=1 d=1 t=5115
er shi nian qian 	二十年前	c=1 d=1 t=2663
er yan 	而言	c=1 d=1 t=478
fa 	法	c=1 d=0.718587 t=5343
fa dai 	發呆	c=2 d=1 t=6521
fa dong 	發動	c=1 d=0.371173 t=341
fa dong zhan zheng 	發動戰爭	c=1 d=0.995834 t=364
fa dong zhan zheng de 	發動戰爭的	c=1 d=1 t=365
fa guo 	發過	c=0 d=0.1 t=3641
fa guo dui 	法國隊	c=0 d=0.1 t=3639
fa guo hai jun 	法国海军	c=1 d=1 t=3643
fa jiao 	發酵	c=2 d=1.44264 t=300
fa ming 	發明	c=0 d=0.1 t=3209
fa ming le 	發明了	c=1 d=1 t=3210
fa shao 	發燒	c=2 d=1.97531 t=3658
fa sheng 	發生	c=0 d=0.1 t=2002
fa sheng de 	發生的	c=1 d=0.181105 t=3448
fa song 	發送	c=0 d=0.1 t=5045
fa xian 	發現	c=2 d=1.00468 t=5397
fa zhan 	發展	c=1 d=0.277636 t=1569
fa zhan de 	發展的	c=1 d=1 t=3162
fa zhan guo cheng 	發展過程	c=1 d=1 t=1587
fa zhan zhong de 	發展中的	c=1 d=1 t=1570
fan bian yi 	反編譯	c=2 d=1.99501 t=692
fan bo 	反駁	c=0 d=0.1 t=3550
fan dao ban 	反盜版	c=1 d=1 t=270
fan hui 	返回	c=3 d=1.99005 t=4559
fan hui zhi 	返回值	c=1 d=1 t=4282
fan li 	反例	c=1 d=1 t=2710
fan rong 	繁榮	c=0 d=0.1 t=1534
fan rong jin bu 	繁榮進步	c=1 d=1 t=1535
fan ti 	繁體	c=1 d=1 t=6319
fan wen 	範文	c=1 d=1 t=1503
fan yi 	翻譯	c=4 d=1.48238 t=6255
fan yi cheng 	翻譯成	c=5 d=2.53639 t=6003
fan yi cheng yi ge 	翻譯成一個	c=1 d=1 t=5068
fan yi guo lai 	翻譯過來	c=1 d=1 t=4192
fan yi wei 	翻譯爲	c=2 d=1.97045 t=6158
fan yi yi duan 	翻譯一段	c=1 d=1 t=6256
fan ying 	反應	c=2 d=1.02305 t=6535
fan zhi 	反制	c=1 d=1 t=243
fang 	方	c=3 d=1.3413 t=3886
fang an 	方案	c=0 d=0.1 t=5161
fang da 	访达	c=1 d=1 t=1002
fang fa 	方法	c=2 d=1.91393 t=5828
fang fang 	方方	c=2 d=1 t=6563
fang kong 	放空	c=1 d=1 t=3692
fang mian 	方面	c=0 d=0.1 t=2771
fang mian ne 	方面呢	c=1 d=1 t=2772
fang shi 	方式	c=1 d=1 t=4739
fang shuo fan 	方铄凡	c=2 d=0.856415 t=6821
fang song 	放鬆	c=0 d=0.1 t=268
fang song le 	放鬆了	c=1 d=1 t=269
fang wen 	訪問	c=1 d=0.237381 t=6374
fang zai 	放在	c=2 d=1.01561 t=5086
fang zhen 	仿真	c=7 d=5.09612 t=2651
fang zhen 	方針	c=0 d=0.1 t=1606
fang zhen kai shi 	仿真開始	c=1 d=1 t=2485
fang zhen xia 	仿真下	c=1 d=1 t=2545
fang zhen yu 	方針與	c=1 d=1 t=1607
fang zhi 	防止	c=1 d=1 t=500
fei 	非	c=1 d=1 t=1196
fei chang 	非常	c=0 d=0.1 t=5416
fei chang man yi 	非常滿意	c=2 d=1.99501 t=5418
fei chang shun li 	非常順利	c=2 d=1.00179 t=2569
fei shi jian 	費時間	c=0 d=0.1 t=4094
fei zhi lou 	廢紙簍	c=1 d=1 t=603
fen 	份	c=1 d=1 t=743
fen 	分	c=1 d=0.340508 t=2152
fen bian 	分辨	c=0 d=0.1 t=3274
fen bian ma 	分辨嗎	c=1 d=1 t=3275
fen bie 	分別	c=0 d=0.1 t=5818
fen bie shi yong le 	分別使用了	c=1 d=1 t=5819
fen bu shi 	分佈式	c=7 d=5.89477 t=6443
fen bu shi xi tong 	分布式系统	c=1 d=1 t=6336
fen bu shi xi tong an quan xing 	分佈式系統安全性	c=1 d=1 t=6381
fen cheng 	分成	c=0 d=0.1 t=4504
fen cheng liang ban 	分成兩半	c=1 d=1 t=4505
fen ge 	分隔	c=3 d=1.13254 t=1381
fen piao 	分票	c=1 d=1 t=5573
fen shou ba 	分手吧	c=0 d=0.1 t=3887
fen xi 	分析	c=3 d=1.17728 t=6342
fen xiang 	分享	c=1 d=1 t=527
fen zhi 	分治	c=3 d=1 t=4641
fen zhi xian jie 	分支限界	c=3 d=2.49677 t=5343
fen zhi xian jie fa 	分支限界法	c=1 d=1 t=5344
feng fu de 	豐富的	c=1 d=1 t=1904
feng ge 	風格	c=1 d=1.00235 t=6268
feng ping 	風評	c=0 d=0.1 t=2090
feng shan 	風扇	c=1 d=1 t=3826
feng tou 	風頭	c=1 d=1 t=3706
fou ze 	否則	c=2 d=1.49411 t=4699
fu du 	幅度	c=0 d=0.1 t=1230
fu hao 	符號	c=0 d=0.1 t=6211
fu he 	符合	c=1 d=0.110002 t=2890
fu he guo jia 	符合國家	c=0 d=0.1 t=3639
fu he yu qi 	符合預期	c=1 d=1 t=2891
fu qiang 	富強	c=1 d=0.98692 t=1523
fu shang 	附上	c=1 d=1 t=5854
fu shu 	負數	c=1 d=1 t=6210
fu su 	復甦	c=0 d=0.1 t=529
fu za 	複雜	c=0 d=0.1 t=4874
fu za cha xun 	複雜查詢	c=2 d=1.57121 t=4987
fu za du 	複雜度	c=1 d=0.1 t=4567
fu za yong fa 	複雜用法	c=1 d=1 t=1978
fu zhe 	扶着	c=1 d=1 t=6552
fu zhi 	複製	c=1 d=1 t=4186
fu zhu 	輔助	c=0 d=0.1 t=1198
fu zhu shu zu 	輔助數組	c=1 d=1 t=1199
gai 	改	c=1 d=0.100003 t=4198
gai 	該	c=7 d=1.06859 t=6749
gai cheng 	改成	c=1 d=1 t=5243
gai guo le 	改過了	c=1 d=1 t=4199
gai le 	改了	c=1 d=1 t=803
gai lv 	概率	c=0 d=0.1 t=2155
gai men 	該門	c=1 d=1 t=4938
gai ming 	改名	c=1 d=1 t=2059
gai nian de 	概念的	c=1 d=1 t=1733
gai shan 	改善	c=1 d=1 t=3166
gai si de 	該死的	c=1 d=1 t=6652
gai suan 	該算	c=0 d=0.1 t=4779
gai suan fa 	該算法	c=1 d=1 t=4780
gai tian 	改天	c=1 d=1 t=2726
gai wei 	改爲	c=1 d=1 t=6181
gai zhuang 	改裝	c=1 d=1 t=5545
gai zuo de 	該做的	c=2 d=1.99005 t=927
gan 	幹	c=0 d=0.0625002 t=130
gan 	淦	c=1 d=1 t=3632
gan dao 	感到	c=2 d=1 t=3036
gan she me 	幹什麼	c=1 d=0.628135 t=130
gan shen me 	幹什麼	c=0 d=0.101 t=4331
gan shen me de ne 	幹什麼的呢	c=1 d=1 t=3411
gan tan ju 	感嘆句	c=2 d=1.8311 t=3618
gan xie 	感謝	c=2 d=1 t=5878
gan zhe 	甘蔗	c=0 d=0.1 t=3593
gang 	剛	c=2 d=0.263103 t=3986
gang bei 	剛被	c=1 d=1 t=2942
gang cai 	剛纔	c=2 d=1.92774 t=2124
gang dan sheng kai shi 	剛誕生開始	c=1 d=1 t=3987
gang gang 	剛剛	c=1 d=1.07538 t=4955
gang gang shuo de hua 	剛剛說的話	c=1 d=1 t=3917
gao 	高	c=1 d=1 t=6698
gao bu dong 	搞不懂	c=1 d=1.08187 t=4443
gao cuo le 	搞錯了	c=1 d=1 t=687
gao deng shu xue 	高等數學	c=1 d=1 t=1480
gao jia 	高價	c=1 d=1 t=209
gao kai di zou 	高開低走	c=1 d=1 t=3814
gao le 	搞了	c=0 d=0.1 t=5381
gao su 	告訴	c=1 d=0.124211 t=4632
gao su ni 	告訴你	c=1 d=0.446456 t=3539
gao su wo 	告訴我	c=1 d=1.00007 t=4765
gao zhong 	高中	c=0 d=0.1 t=2888
gao zhong nv sheng de 	高中女生的	c=1 d=1 t=2889
ge 	個	c=11 d=1.0036 t=6126
ge 	哥	c=1 d=1 t=2669
ge 	格	c=1 d=1.03239 t=6809
ge 	歌	c=1 d=0.1 t=6659
ge ci 	歌詞	c=1 d=1.00211 t=6257
ge fang 	各方	c=1 d=1 t=387
ge ge 	各個	c=1 d=1 t=2501
ge ge fang mian 	各個方面	c=1 d=1 t=4398
ge guo 	各國	c=1 d=1 t=309
ge qu 	歌曲	c=2 d=1.97531 t=1640
ge ren 	個人	c=0 d=0.1 t=1004
ge ren shou cang 	個人收藏	c=1 d=1 t=1005
ge shi 	格式	c=1 d=1 t=6115
ge shu 	個數	c=6 d=1.54926 t=6214
ge zhong 	各種	c=0 d=0.273024 t=1983
ge zhong qing kuang de 	各種情況的	c=1 d=1 t=1984
ge zhong yong fa 	各種用法	c=1 d=1 t=1958
gei 	給	c=0 d=0.100345 t=5679
gei chu 	給出	c=1 d=1 t=5180
gei chu de 	給出的	c=1 d=1 t=5680
gei ni 	給你	c=1 d=0.132876 t=4039
gei ni de 	給你的	c=1 d=1 t=6027
gei ta 	給他	c=0 d=0.100003 t=4128
gei wo 	給我	c=4 d=0.193882 t=4842
gei yi ge shu 	給一個數	c=1 d=1 t=4546
gen ben 	根本	c=3 d=1.00054 t=6281
gen ju 	根據	c=3 d=1.15355 t=4996
gen sui 	跟隨	c=1 d=1 t=1561
geng 	更	c=1 d=1 t=6680
geng bie shuo 	更別說	c=1 d=1 t=2705
geng chang 	更長	c=1 d=1 t=3046
geng chang de 	更長的	c=1 d=1 t=4702
geng duo 	更多	c=1 d=0.148801 t=820
geng duo de 	更多的	c=2 d=1.98511 t=148
geng duo de shi jian 	更多的時間	c=1 d=1 t=821
geng gai 	更改	c=2 d=1 t=5013
geng gai shu ju 	更改數據	c=1 d=1 t=1849
geng hao 	更好	c=0 d=0.1 t=2099
geng huan 	更換	c=2 d=1.56553 t=5749
geng jia 	更加	c=0 d=0.1 t=2580
geng jia shen ke de 	更加深刻的	c=1 d=1 t=2581
geng jin yi bu 	更進一步	c=0 d=0.1 t=230
geng jin yi bu de 	更進一步的	c=1 d=1 t=231
geng shen ru de liao jie 	更深入的瞭解	c=1 d=1 t=2606
geng tie he yu 	更貼合於	c=1 d=1 t=1604
geng xiao 	更小	c=1 d=1 t=5608
geng xin 	更新	c=7 d=1.8808 t=5434
geng xin de 	更新的	c=1 d=1 t=1737
geng xin le yi xia 	更新了一下	c=1 d=1 t=5396
geng xin shi tu 	更新視圖	c=1 d=1 t=1993
gong 	共	c=1 d=1 t=4722
gong ce 	公測	c=1 d=1 t=2753
gong cheng 	工程	c=1 d=1 t=2146
gong dian 	供電	c=3 d=2.69884 t=6618
gong gong 	公共	c=0 d=0.195123 t=4671
gong gong zi xu lie 	公共子序列	c=2 d=1.83946 t=4707
gong ju 	工具	c=2 d=1 t=6488
gong ju lian 	工具链	c=1 d=1 t=4818
gong kai 	公開	c=1 d=1.01851 t=6727
gong lve 	攻略	c=1 d=1 t=6313
gong neng 	功能	c=11 d=0.156239 t=6821
gong neng ce shi 	功能测试	c=1 d=1 t=2839
gong neng kuai 	功能块	c=0 d=0.1 t=2244
gong tong de 	共同的	c=2 d=1.93239 t=1548
gong xiang 	共享	c=1 d=1 t=6389
gong xin bu 	工信部	c=1 d=1 t=512
gong yu 	公寓	c=0 d=0.1 t=2068
gong zuo 	工作	c=1 d=0.0941765 t=6821
gong zuo de 	工作的	c=1 d=1 t=2514
gong zuo mu lu 	工作目录	c=1 d=1 t=3336
gong zuo qu 	工作區	c=2 d=1.89771 t=6821
gou 	夠	c=0 d=0.1 t=4094
gou fei shi jian 	夠費時間	c=1 d=1 t=4095
gou jian 	構建	c=3 d=1 t=4823
gou mai 	購買	c=1 d=1 t=5498
gou mai shi you 	購買石油	c=1 d=1 t=254
gou xuan 	勾選	c=1 d=1 t=1658
gu de 	古德	c=2 d=1.97045 t=5651
gu ge 	谷歌	c=1 d=1 t=3276
gu ji 	估計	c=2 d=1.98511 t=5404
gu zhang chu li 	故障处理	c=1 d=1 t=6369
gu zhang pai chu 	故障排除	c=1 d=1 t=5812
gua 	掛	c=1 d=1.01851 t=3775
gua ming 	掛名	c=1 d=1 t=3820
guan 	管	c=1 d=1 t=5092
guan bi 	關閉	c=2 d=1 t=5411
guan cha 	觀察	c=1 d=1.06561 t=1967
guan cha dao 	觀察到	c=1 d=1 t=2562
guan cha jie guo 	觀察結果	c=1 d=1 t=1968
guan dian 	觀點	c=0 d=0.1 t=3585
guan fang 	官方	c=1 d=1 t=5841
guan jian ci 	關鍵詞	c=2 d=1 t=6417
guan li 	管理	c=1 d=0.100167 t=4807
guan li yuan 	管理員	c=0 d=0.1 t=5822
guan li yuan zhang hu 	管理員賬戶	c=1 d=1 t=5823
guan lian 	關聯	c=0 d=0.1 t=4932
guan lian qi lai 	關聯起來	c=1 d=1 t=4933
guan wang 	官網	c=0 d=0.1 t=3774
guan wang zai 	官網在	c=1 d=1 t=3775
guan xi 	關係	c=2 d=1.00747 t=4965
guan yu 	關於	c=2 d=1.93707 t=6041
guang fan 	廣泛	c=1 d=1 t=6427
guang zhui 	光追	c=3 d=2.52295 t=5527
gui 	鬼	c=0 d=0.1 t=3663
gui bing 	歸併	c=3 d=1 t=4493
gui bing pai xu 	归并排序	c=9 d=6.87526 t=4542
gui fan 	規範	c=0 d=0.1 t=2099
gui hua 	規劃	c=0 d=0.1 t=3639
gui ling 	歸零	c=1 d=1 t=2444
gui ze 	規則	c=1 d=1 t=2518
gun 	滾	c=0 d=0.1 t=6645
gun ni ma dan de 	滾你媽蛋的	c=1 d=1 t=6646
guo 	國	c=1 d=1 t=5557
guo 	過	c=0 d=0.100001 t=5826
guo chan 	國產	c=0 d=0.1 t=3817
guo chan shen zuo 	國產神作	c=1 d=1 t=3818
guo chang 	過長	c=0 d=0.1 t=1827
guo de 	過的	c=0 d=0.1 t=5398
